segment_id,segment_kind,assembly_id,service,from_point,to_point,planning_length_mm,minimum_bend_radius_mm,corridor_diameter_mm,separation_rule,selection_state,authority
CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_ROLL-PWR-P01,CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_WRIST_ROTATION-AT-L_ELBOW_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_WRIST_ROTATION-AT-L_ELBOW_PITCH-PWR-P01,CROSS-L_WRIST_ROTATION-AT-L_ELBOW_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_WRIST_ROTATION-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,LOOP-L_WRIST_ROTATION-PWR-P01,LOOP-L_WRIST_ROTATION-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_WRIST_ROTATION-DATA,SERIAL DATA JOINT LINK,HN-A01,DATA,LOOP-L_WRIST_ROTATION-DATA-P01,LOOP-L_WRIST_ROTATION-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_GRIPPER-AT-L_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_GRIPPER-AT-L_SHOULDER_PITCH-PWR-P01,CROSS-L_GRIPPER-AT-L_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_GRIPPER-AT-L_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_GRIPPER-AT-L_SHOULDER_ROLL-PWR-P01,CROSS-L_GRIPPER-AT-L_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_GRIPPER-AT-L_ELBOW_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_GRIPPER-AT-L_ELBOW_PITCH-PWR-P01,CROSS-L_GRIPPER-AT-L_ELBOW_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_GRIPPER-AT-L_WRIST_ROTATION-PWR,DIRECT POWER JOINT CROSSING,HN-A01,ACTUATOR POWER,CROSS-L_GRIPPER-AT-L_WRIST_ROTATION-PWR-P01,CROSS-L_GRIPPER-AT-L_WRIST_ROTATION-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_GRIPPER-PWR,DIRECT POWER JOINT CROSSING,HN-G01,ACTUATOR POWER,LOOP-L_GRIPPER-PWR-P01,LOOP-L_GRIPPER-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_GRIPPER-DATA,SERIAL DATA JOINT LINK,HN-G01,DATA,LOOP-L_GRIPPER-DATA-P01,LOOP-L_GRIPPER-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_PITCH-PWR-P01,CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_ROLL-PWR-P01,CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_WRIST_ROTATION-AT-R_ELBOW_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_WRIST_ROTATION-AT-R_ELBOW_PITCH-PWR-P01,CROSS-R_WRIST_ROTATION-AT-R_ELBOW_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_WRIST_ROTATION-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,LOOP-R_WRIST_ROTATION-PWR-P01,LOOP-R_WRIST_ROTATION-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_WRIST_ROTATION-DATA,SERIAL DATA JOINT LINK,HN-A02,DATA,LOOP-R_WRIST_ROTATION-DATA-P01,LOOP-R_WRIST_ROTATION-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_GRIPPER-AT-R_SHOULDER_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_GRIPPER-AT-R_SHOULDER_PITCH-PWR-P01,CROSS-R_GRIPPER-AT-R_SHOULDER_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_GRIPPER-AT-R_SHOULDER_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_GRIPPER-AT-R_SHOULDER_ROLL-PWR-P01,CROSS-R_GRIPPER-AT-R_SHOULDER_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_GRIPPER-AT-R_ELBOW_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_GRIPPER-AT-R_ELBOW_PITCH-PWR-P01,CROSS-R_GRIPPER-AT-R_ELBOW_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_GRIPPER-AT-R_WRIST_ROTATION-PWR,DIRECT POWER JOINT CROSSING,HN-A02,ACTUATOR POWER,CROSS-R_GRIPPER-AT-R_WRIST_ROTATION-PWR-P01,CROSS-R_GRIPPER-AT-R_WRIST_ROTATION-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_GRIPPER-PWR,DIRECT POWER JOINT CROSSING,HN-G02,ACTUATOR POWER,LOOP-R_GRIPPER-PWR-P01,LOOP-R_GRIPPER-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_GRIPPER-DATA,SERIAL DATA JOINT LINK,HN-G02,DATA,LOOP-R_GRIPPER-DATA-P01,LOOP-R_GRIPPER-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-HEAD_PAN-PWR,DIRECT POWER JOINT CROSSING,HN-NH01,ACTUATOR POWER,LOOP-HEAD_PAN-PWR-P01,LOOP-HEAD_PAN-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-HEAD_PAN-DATA,SERIAL DATA JOINT LINK,HN-NH01,DATA,LOOP-HEAD_PAN-DATA-P01,LOOP-HEAD_PAN-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-HEAD_TILT-AT-HEAD_PAN-PWR,DIRECT POWER JOINT CROSSING,HN-NH01,ACTUATOR POWER,CROSS-HEAD_TILT-AT-HEAD_PAN-PWR-P01,CROSS-HEAD_TILT-AT-HEAD_PAN-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-HEAD_TILT-PWR,DIRECT POWER JOINT CROSSING,HN-NH01,ACTUATOR POWER,LOOP-HEAD_TILT-PWR-P01,LOOP-HEAD_TILT-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-HEAD_TILT-DATA,SERIAL DATA JOINT LINK,HN-NH01,DATA,LOOP-HEAD_TILT-DATA-P01,LOOP-HEAD_TILT-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
