reference,terminal,sheet,pin_name,net,native_net_p114,native_net_p115,parity,warning
TP10,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG COIL 2 SINK,WD2_COIL_N,WD2_COIL_N,WD2_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP11,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG NC 1 INPUT,WD1_NC_24V,WD1_NC_24V,WD1_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP12,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG NC 2 INPUT,WD2_NC_24V,WD2_NC_24V,WD2_NC_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP13,1,12_watchdog_pcb_test_access.kicad_sch,FEEDBACK RECEIVER 1 OUT,UFB_OUT1,UFB_OUT1,UFB_OUT1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP14,1,12_watchdog_pcb_test_access.kicad_sch,FEEDBACK RECEIVER 2 OUT,UFB_OUT2,UFB_OUT2,UFB_OUT2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP15,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG SWDIO,WD_SWDIO,WD_SWDIO,WD_SWDIO,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP16,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG SWCLK,WD_SWCLK,WD_SWCLK,WD_SWCLK,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP2,1,12_watchdog_pcb_test_access.kicad_sch,SAFETY 0 V,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP3,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG 5 V,WD_5V,WD_5V,WD_5V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP4,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG 3V3,WD_3V3,WD_3V3,WD_3V3,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP5,1,12_watchdog_pcb_test_access.kicad_sch,COMPUTE HEARTBEAT,PI_HEARTBEAT,PI_HEARTBEAT,PI_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP6,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG HEARTBEAT,WD_HEARTBEAT,WD_HEARTBEAT,WD_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP7,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG DRIVE 1,WD1_DRIVE,WD1_DRIVE,WD1_DRIVE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP8,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG DRIVE 2,WD2_DRIVE,WD2_DRIVE,WD2_DRIVE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
TP9,1,12_watchdog_pcb_test_access.kicad_sch,WATCHDOG COIL 1 SINK,WD1_COIL_N,WD1_COIL_N,WD1_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
U1,TTL-1,10_actuator_interfaces.kicad_sch,GND,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,ACT_0V_PE_BONDED,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
U1,TTL-2,10_actuator_interfaces.kicad_sch,VDD OMITTED,INTENTIONALLY_UNUSED_U2D2_VDD,INTENTIONALLY_UNUSED_U2D2_VDD,INTENTIONALLY_UNUSED_U2D2_VDD,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
U1,TTL-3,10_actuator_interfaces.kicad_sch,DATA,DXL_TTL_DATA,DXL_TTL_DATA,DXL_TTL_DATA,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
U1,USB,10_actuator_interfaces.kicad_sch,USB TO PI,PI_USB_U2D2,PI_USB_U2D2,PI_USB_U2D2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,1,07_watchdog_control.kicad_sch,IN1,WD1_DRIVE,WD1_DRIVE,WD1_DRIVE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,10,07_watchdog_control.kicad_sch,OUT7 UNUSED,INTENTIONALLY_UNUSED_UDRV1_10,unconnected-(UDRV1-OUT7_UNUSED-Pad10),unconnected-(UDRV1-OUT7_UNUSED-Pad10),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,11,07_watchdog_control.kicad_sch,OUT6 UNUSED,INTENTIONALLY_UNUSED_UDRV1_11,unconnected-(UDRV1-OUT6_UNUSED-Pad11),unconnected-(UDRV1-OUT6_UNUSED-Pad11),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,12,07_watchdog_control.kicad_sch,OUT5 UNUSED,INTENTIONALLY_UNUSED_UDRV1_12,unconnected-(UDRV1-OUT5_UNUSED-Pad12),unconnected-(UDRV1-OUT5_UNUSED-Pad12),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,13,07_watchdog_control.kicad_sch,OUT4 UNUSED,INTENTIONALLY_UNUSED_UDRV1_13,unconnected-(UDRV1-OUT4_UNUSED-Pad13),unconnected-(UDRV1-OUT4_UNUSED-Pad13),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,14,07_watchdog_control.kicad_sch,OUT3 UNUSED,INTENTIONALLY_UNUSED_UDRV1_14,unconnected-(UDRV1-OUT3_UNUSED-Pad14),unconnected-(UDRV1-OUT3_UNUSED-Pad14),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,15,07_watchdog_control.kicad_sch,OUT2 UNUSED,INTENTIONALLY_UNUSED_UDRV1_15,unconnected-(UDRV1-OUT2_UNUSED-Pad15),unconnected-(UDRV1-OUT2_UNUSED-Pad15),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,16,07_watchdog_control.kicad_sch,OUT1 COIL RETURN,WD1_COIL_N,WD1_COIL_N,WD1_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,2,07_watchdog_control.kicad_sch,IN2 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,3,07_watchdog_control.kicad_sch,IN3 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,4,07_watchdog_control.kicad_sch,IN4 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,5,07_watchdog_control.kicad_sch,IN5 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,6,07_watchdog_control.kicad_sch,IN6 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,7,07_watchdog_control.kicad_sch,IN7 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,8,07_watchdog_control.kicad_sch,GND,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,9,07_watchdog_control.kicad_sch,COM,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,1,07_watchdog_control.kicad_sch,IN1,WD2_DRIVE,WD2_DRIVE,WD2_DRIVE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,10,07_watchdog_control.kicad_sch,OUT7 UNUSED,INTENTIONALLY_UNUSED_UDRV2_10,unconnected-(UDRV2-OUT7_UNUSED-Pad10),unconnected-(UDRV2-OUT7_UNUSED-Pad10),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,11,07_watchdog_control.kicad_sch,OUT6 UNUSED,INTENTIONALLY_UNUSED_UDRV2_11,unconnected-(UDRV2-OUT6_UNUSED-Pad11),unconnected-(UDRV2-OUT6_UNUSED-Pad11),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,12,07_watchdog_control.kicad_sch,OUT5 UNUSED,INTENTIONALLY_UNUSED_UDRV2_12,unconnected-(UDRV2-OUT5_UNUSED-Pad12),unconnected-(UDRV2-OUT5_UNUSED-Pad12),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,13,07_watchdog_control.kicad_sch,OUT4 UNUSED,INTENTIONALLY_UNUSED_UDRV2_13,unconnected-(UDRV2-OUT4_UNUSED-Pad13),unconnected-(UDRV2-OUT4_UNUSED-Pad13),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,14,07_watchdog_control.kicad_sch,OUT3 UNUSED,INTENTIONALLY_UNUSED_UDRV2_14,unconnected-(UDRV2-OUT3_UNUSED-Pad14),unconnected-(UDRV2-OUT3_UNUSED-Pad14),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,15,07_watchdog_control.kicad_sch,OUT2 UNUSED,INTENTIONALLY_UNUSED_UDRV2_15,unconnected-(UDRV2-OUT2_UNUSED-Pad15),unconnected-(UDRV2-OUT2_UNUSED-Pad15),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,16,07_watchdog_control.kicad_sch,OUT1 COIL RETURN,WD2_COIL_N,WD2_COIL_N,WD2_COIL_N,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,2,07_watchdog_control.kicad_sch,IN2 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,3,07_watchdog_control.kicad_sch,IN3 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,4,07_watchdog_control.kicad_sch,IN4 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,5,07_watchdog_control.kicad_sch,IN5 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,6,07_watchdog_control.kicad_sch,IN6 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,7,07_watchdog_control.kicad_sch,IN7 TIED LOW,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,8,07_watchdog_control.kicad_sch,GND,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,9,07_watchdog_control.kicad_sch,COM,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,1,08_watchdog_feedback_interface.kicad_sch,GND1,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,10,08_watchdog_feedback_interface.kicad_sch,IN2,FB_IN2,FB_IN2,FB_IN2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,11,08_watchdog_feedback_interface.kicad_sch,SENSE2,FB_SENSE2,FB_SENSE2,FB_SENSE2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,12,08_watchdog_feedback_interface.kicad_sch,SUB2 FLOAT,INTENTIONALLY_UNUSED_UFB1_12,unconnected-(UFB1-SUB2_FLOAT-Pad12),unconnected-(UFB1-SUB2_FLOAT-Pad12),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,13,08_watchdog_feedback_interface.kicad_sch,SUB1 FLOAT,INTENTIONALLY_UNUSED_UFB1_13,unconnected-(UFB1-SUB1_FLOAT-Pad13),unconnected-(UFB1-SUB1_FLOAT-Pad13),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,14,08_watchdog_feedback_interface.kicad_sch,FGND1,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,15,08_watchdog_feedback_interface.kicad_sch,IN1,FB_IN1,FB_IN1,FB_IN1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,16,08_watchdog_feedback_interface.kicad_sch,SENSE1,FB_SENSE1,FB_SENSE1,FB_SENSE1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,2,08_watchdog_feedback_interface.kicad_sch,VCC1,WD_3V3,WD_3V3,WD_3V3,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,3,08_watchdog_feedback_interface.kicad_sch,EN TIED HIGH,WD_3V3,WD_3V3,WD_3V3,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,4,08_watchdog_feedback_interface.kicad_sch,OUT1,UFB_OUT1,UFB_OUT1,UFB_OUT1,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,5,08_watchdog_feedback_interface.kicad_sch,OUT2,UFB_OUT2,UFB_OUT2,UFB_OUT2,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,6,08_watchdog_feedback_interface.kicad_sch,NC,INTENTIONALLY_UNUSED_UFB1_6,unconnected-(UFB1-NC-Pad6),unconnected-(UFB1-NC-Pad6),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,7,08_watchdog_feedback_interface.kicad_sch,NC,INTENTIONALLY_UNUSED_UFB1_7,unconnected-(UFB1-NC-Pad7),unconnected-(UFB1-NC-Pad7),EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,8,08_watchdog_feedback_interface.kicad_sch,GND1,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,9,08_watchdog_feedback_interface.kicad_sch,FGND2,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,10,07_watchdog_control.kicad_sch,GP7 RELAY2 FEEDBACK,WD2_NC_DIAG,WD2_NC_DIAG,WD2_NC_DIAG,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,36,07_watchdog_control.kicad_sch,3V3 OUTPUT,WD_3V3,WD_3V3,WD_3V3,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,38,07_watchdog_control.kicad_sch,GROUND,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,39,07_watchdog_control.kicad_sch,VSYS 5V INPUT,WD_5V,WD_5V,WD_5V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,4,07_watchdog_control.kicad_sch,GP2 HEARTBEAT IN,WD_HEARTBEAT,WD_HEARTBEAT,WD_HEARTBEAT,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,5,07_watchdog_control.kicad_sch,GP3 RELAY1 DRIVE,WD1_DRIVE,WD1_DRIVE,WD1_DRIVE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,6,07_watchdog_control.kicad_sch,GP4 RELAY2 DRIVE,WD2_DRIVE,WD2_DRIVE,WD2_DRIVE,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,9,07_watchdog_control.kicad_sch,GP6 RELAY1 FEEDBACK,WD1_NC_DIAG,WD1_NC_DIAG,WD1_NC_DIAG,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,D1,07_watchdog_control.kicad_sch,SWCLK,WD_SWCLK,WD_SWCLK,WD_SWCLK,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,D2,07_watchdog_control.kicad_sch,DEBUG GROUND,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,D3,07_watchdog_control.kicad_sch,SWDIO,WD_SWDIO,WD_SWDIO,WD_SWDIO,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,XT1-01,09_compute_and_control_terminals.kicad_sch,+24V,SAFETY_24V,SAFETY_24V,SAFETY_24V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,XT1-02,09_compute_and_control_terminals.kicad_sch,0V,SAFETY_0V,SAFETY_0V,SAFETY_0V,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,XT1-03,09_compute_and_control_terminals.kicad_sch,SR1 STATUS,SR1_STATUS,SR1_STATUS,SR1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,XT1-04,09_compute_and_control_terminals.kicad_sch,SRA1 STATUS,SRA1_STATUS,SRA1_STATUS,SRA1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,XT1-05,09_compute_and_control_terminals.kicad_sch,K1 STATUS,K1_STATUS,K1_STATUS,K1_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,XT1-06,09_compute_and_control_terminals.kicad_sch,K2 STATUS,K2_STATUS,K2_STATUS,K2_STATUS,EXACT,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
